Client_ID	Покупатель	Contractor_name
CL_10101	"ПАО ""Направление"" ИНН 51589412496"	"ПАО ""Направление"" ИНН 51589412496 ЮРЛИЦО №1"
CL_1011	"ООО ""Передача"" ИНН 20301614083"	"ООО ""Передача"" ИНН 20301614083 ЮРЛИЦО №1"
CL_1011	"ООО ""Передача"" ИНН 20301614083"	"ООО ""Передача"" ИНН 20301614083 ЮРЛИЦО №4"
CL_10111	"ООО ""Кадр"" ИНН 44055759530"	"ООО ""Кадр"" ИНН 44055759530 ЮРЛИЦО №1"
CL_10121	"ООО ""Возможность"" ИНН 77601680149"	"ООО ""Возможность"" ИНН 77601680149 ЮРЛИЦО №1"
CL_10131	"АО ""Массовый элемент"" ИНН 32710019355"	"АО ""Массовый элемент"" ИНН 32710019355 ЮРЛИЦО №1"
CL_10141	"АО ""Потрясающая информация"" ИНН 41796028252"	"АО ""Потрясающая информация"" ИНН 41796028252 ЮРЛИЦО №1"
CL_10141	"АО ""Потрясающая информация"" ИНН 41796028252"	"АО ""Потрясающая информация"" ИНН 41796028252 ЮРЛИЦО №3"
CL_10151	"ООО ""Убедительное управление"" ИНН 91990826013"	"ООО ""Убедительное управление"" ИНН 91990826013 ЮРЛИЦО №1"
CL_10161	"ООО ""Интерес"" ИНН 22591366899"	"ООО ""Интерес"" ИНН 22591366899 ЮРЛИЦО №1"
CL_10161	"ООО ""Интерес"" ИНН 22591366899"	"ООО ""Интерес"" ИНН 22591366899 ЮРЛИЦО №3"
CL_10171	"ООО ""Курс"" ИНН 75873620665"	"ООО ""Курс"" ИНН 75873620665 ЮРЛИЦО №1"
CL_10181	"ООО ""Разработка"" ИНН 47357776047"	"ООО ""Разработка"" ИНН 47357776047 ЮРЛИЦО №1"
CL_10191	"ООО ""Вершина"" ИНН 95380017411"	"ООО ""Вершина"" ИНН 95380017411 ЮРЛИЦО №1"
CL_10201	"ООО ""Богатый магазин"" ИНН 51602701559"	"ООО ""Богатый магазин"" ИНН 51602701559 ЮРЛИЦО №1"
CL_1021	"ООО ""Максимальная схема"" ИНН 4538288571"	"ООО ""Максимальная схема"" ИНН 4538288571 ЮРЛИЦО №1"
CL_10211	"ООО ""Река"" ИНН 73129632334"	"ООО ""Река"" ИНН 73129632334 ЮРЛИЦО №1"
CL_10221	"ООО ""Личность"" ИНН 4258651945"	"ООО ""Личность"" ИНН 4258651945 ЮРЛИЦО №1"
CL_10231	"АО ""Бесчисленное знание"" ИНН 9368367758"	"АО ""Бесчисленное знание"" ИНН 9368367758 ЮРЛИЦО №1"
CL_10241	"ООО ""Поразительная слава"" ИНН 48065844493"	"ООО ""Поразительная слава"" ИНН 48065844493 ЮРЛИЦО №1"
CL_10241	"ООО ""Поразительная слава"" ИНН 48065844493"	"ООО ""Поразительная слава"" ИНН 48065844493 ЮРЛИЦО №3"
CL_10251	"ООО ""Дерево"" ИНН 23837992911"	"ООО ""Дерево"" ИНН 23837992911 ЮРЛИЦО №1"
CL_10251	"ООО ""Дерево"" ИНН 23837992911"	"ООО ""Дерево"" ИНН 23837992911 ЮРЛИЦО №2"
CL_10261	"ООО ""Основательная песня"" ИНН 82284311405"	"ООО ""Основательная песня"" ИНН 82284311405 ЮРЛИЦО №1"
CL_10271	"ООО ""Зеленый этаж"" ИНН 31809881077"	"ООО ""Зеленый этаж"" ИНН 31809881077 ЮРЛИЦО №1"
CL_10281	"ООО ""Прием"" ИНН 80107296916"	"ООО ""Прием"" ИНН 80107296916 ЮРЛИЦО №1"
CL_10291	"ООО ""Этап"" ИНН 84747303827"	"ООО ""Этап"" ИНН 84747303827 ЮРЛИЦО №1"
CL_10301	"АО ""Помощь"" ИНН 14603124541"	"АО ""Помощь"" ИНН 14603124541 ЮРЛИЦО №1"
CL_1031	"ООО ""Форма"" ИНН 46866825651"	"ООО ""Форма"" ИНН 46866825651 ЮРЛИЦО №1"
CL_10311	"ООО ""Истинный рынок"" ИНН 17640651181"	"ООО ""Истинный рынок"" ИНН 17640651181 ЮРЛИЦО №1"
CL_10321	"ПАО ""Начало"" ИНН 55807584088"	"ПАО ""Начало"" ИНН 55807584088 ЮРЛИЦО №1"
CL_10331	"ООО ""Арктическое начало"" ИНН 79550901119"	"ООО ""Арктическое начало"" ИНН 79550901119 ЮРЛИЦО №1"
CL_10341	"ООО ""Жизненный костюм"" ИНН 94231125853"	"ООО ""Жизненный костюм"" ИНН 94231125853 ЮРЛИЦО №1"
CL_10341	"ООО ""Жизненный костюм"" ИНН 94231125853"	"ООО ""Жизненный костюм"" ИНН 94231125853 ЮРЛИЦО №2"
CL_10351	"ООО ""Искусство"" ИНН 53957209849"	"ООО ""Искусство"" ИНН 53957209849 ЮРЛИЦО №1"
CL_10361	"ООО ""Ремонт"" ИНН 9333421559"	"ООО ""Ремонт"" ИНН 9333421559 ЮРЛИЦО №1"
CL_10371	"ООО ""Твердое основание"" ИНН 17690617998"	"ООО ""Твердое основание"" ИНН 17690617998 ЮРЛИЦО №1"
CL_10371	"ООО ""Твердое основание"" ИНН 17690617998"	"ООО ""Твердое основание"" ИНН 17690617998 ЮРЛИЦО №4"
CL_10381	"ООО ""Ювелирная вода"" ИНН 50644026040"	"ООО ""Ювелирная вода"" ИНН 50644026040 ЮРЛИЦО №1"
CL_10391	"ООО ""Субъект"" ИНН 85117280758"	"ООО ""Субъект"" ИНН 85117280758 ЮРЛИЦО №1"
CL_10391	"ООО ""Субъект"" ИНН 85117280758"	"ООО ""Субъект"" ИНН 85117280758 ЮРЛИЦО №3"
CL_10391	"ООО ""Субъект"" ИНН 85117280758"	"ООО ""Субъект"" ИНН 85117280758 ЮРЛИЦО №5"
CL_10401	"ООО ""Надежный предмет"" ИНН 530834274"	"ООО ""Надежный предмет"" ИНН 530834274 ЮРЛИЦО №1"
CL_1041	"ООО ""След"" ИНН 52574924252"	"ООО ""След"" ИНН 52574924252 ЮРЛИЦО №1"
CL_1041	"ООО ""След"" ИНН 52574924252"	"ООО ""След"" ИНН 52574924252 ЮРЛИЦО №3"
CL_10411	"ООО ""Астрономическая крыша"" ИНН 72519519701"	"ООО ""Астрономическая крыша"" ИНН 72519519701 ЮРЛИЦО №1"
CL_10421	"ООО ""Статус"" ИНН 76246761005"	"ООО ""Статус"" ИНН 76246761005 ЮРЛИЦО №1"
CL_10431	"ООО ""Идея"" ИНН 46413991501"	"ООО ""Идея"" ИНН 46413991501 ЮРЛИЦО №1"
CL_10441	"ООО ""Разговор"" ИНН 89677019282"	"ООО ""Разговор"" ИНН 89677019282 ЮРЛИЦО №1"
CL_10451	"ООО ""Поезд"" ИНН 37644185694"	"ООО ""Поезд"" ИНН 37644185694 ЮРЛИЦО №1"
CL_10461	"ООО ""Книга"" ИНН 41977305553"	"ООО ""Книга"" ИНН 41977305553 ЮРЛИЦО №1"
CL_10471	"ООО ""Город"" ИНН 79402390640"	"ООО ""Город"" ИНН 79402390640 ЮРЛИЦО №1"
CL_10481	"ООО ""Компания"" ИНН 24104361279"	"ООО ""Компания"" ИНН 24104361279 ЮРЛИЦО №1"
CL_10481	"ООО ""Компания"" ИНН 24104361279"	"ООО ""Компания"" ИНН 24104361279 ЮРЛИЦО №3"
CL_10491	"ООО ""Крупное зрение"" ИНН 30625132427"	"ООО ""Крупное зрение"" ИНН 30625132427 ЮРЛИЦО №1"
CL_10501	"ООО ""Отличное утро"" ИНН 76283905599"	"ООО ""Отличное утро"" ИНН 76283905599 ЮРЛИЦО №1"
CL_1051	"ПАО ""Настоящая реформа"" ИНН 24946103725"	"ПАО ""Настоящая реформа"" ИНН 24946103725 ЮРЛИЦО №1"
CL_1051	"ПАО ""Настоящая реформа"" ИНН 24946103725"	"ПАО ""Настоящая реформа"" ИНН 24946103725 ЮРЛИЦО №3"
CL_10511	"ООО ""Участие"" ИНН 63397768927"	"ООО ""Участие"" ИНН 63397768927 ЮРЛИЦО №1"
CL_10521	"ООО ""Голос"" ИНН 79913712897"	"ООО ""Голос"" ИНН 79913712897 ЮРЛИЦО №1"
CL_10531	"ООО ""Непобедимая величина"" ИНН 71403990015"	"ООО ""Непобедимая величина"" ИНН 71403990015 ЮРЛИЦО №1"
CL_10541	"ООО ""Богатырский самолет"" ИНН 74842078010"	"ООО ""Богатырский самолет"" ИНН 74842078010 ЮРЛИЦО №1"
CL_10551	"АО ""Космическое действие"" ИНН 6547015603"	"АО ""Космическое действие"" ИНН 6547015603 ЮРЛИЦО №1"
CL_10551	"АО ""Космическое действие"" ИНН 6547015603"	"АО ""Космическое действие"" ИНН 6547015603 ЮРЛИЦО №2"
CL_10561	"ООО ""Фантастический дом"" ИНН 57326469708"	"ООО ""Фантастический дом"" ИНН 57326469708 ЮРЛИЦО №1"
CL_10571	"ООО ""Подлинное условие"" ИНН 86894569902"	"ООО ""Подлинное условие"" ИНН 86894569902 ЮРЛИЦО №1"
CL_10571	"ООО ""Подлинное условие"" ИНН 86894569902"	"ООО ""Подлинное условие"" ИНН 86894569902 ЮРЛИЦО №3"
CL_10581	"ООО ""Незаурядный ресурс"" ИНН 38793609289"	"ООО ""Незаурядный ресурс"" ИНН 38793609289 ЮРЛИЦО №1"
CL_10591	"ООО ""Труд"" ИНН 82913518964"	"ООО ""Труд"" ИНН 82913518964 ЮРЛИЦО №1"
CL_10601	"ООО ""Бесценная проблема"" ИНН 61169529789"	"ООО ""Бесценная проблема"" ИНН 61169529789 ЮРЛИЦО №1"
CL_10601	"ООО ""Бесценная проблема"" ИНН 61169529789"	"ООО ""Бесценная проблема"" ИНН 61169529789 ЮРЛИЦО №3"
CL_1061	"АО ""Дом"" ИНН 58758149617"	"АО ""Дом"" ИНН 58758149617 ЮРЛИЦО №1"
CL_10611	"ООО ""Песня"" ИНН 30534398082"	"ООО ""Песня"" ИНН 30534398082 ЮРЛИЦО №1"
CL_10611	"ООО ""Песня"" ИНН 30534398082"	"ООО ""Песня"" ИНН 30534398082 ЮРЛИЦО №3"
CL_10621	"ООО ""Час"" ИНН 76558307330"	"ООО ""Час"" ИНН 76558307330 ЮРЛИЦО №1"
CL_10631	"АО ""Граница"" ИНН 36588085707"	"АО ""Граница"" ИНН 36588085707 ЮРЛИЦО №1"
CL_10631	"АО ""Граница"" ИНН 36588085707"	"АО ""Граница"" ИНН 36588085707 ЮРЛИЦО №4"
CL_10641	"ООО ""Игра"" ИНН 73764996816"	"ООО ""Игра"" ИНН 73764996816 ЮРЛИЦО №1"
CL_10651	"ООО ""Редкий вид"" ИНН 64416189630"	"ООО ""Редкий вид"" ИНН 64416189630 ЮРЛИЦО №1"
CL_10661	"АО ""Бурная трава"" ИНН 97892907130"	"АО ""Бурная трава"" ИНН 97892907130 ЮРЛИЦО №1"
CL_10661	"АО ""Бурная трава"" ИНН 97892907130"	"АО ""Бурная трава"" ИНН 97892907130 ЮРЛИЦО №2"
CL_10661	"АО ""Бурная трава"" ИНН 97892907130"	"АО ""Бурная трава"" ИНН 97892907130 ЮРЛИЦО №5"
CL_10671	"ООО ""Густое предложение"" ИНН 19278955551"	"ООО ""Густое предложение"" ИНН 19278955551 ЮРЛИЦО №1"
CL_10681	"ООО ""Чай"" ИНН 48132836499"	"ООО ""Чай"" ИНН 48132836499 ЮРЛИЦО №1"
CL_10691	"АО ""Богатая стена"" ИНН 5057805599"	"АО ""Богатая стена"" ИНН 5057805599 ЮРЛИЦО №1"
CL_10701	"ООО ""Правда"" ИНН 46354472922"	"ООО ""Правда"" ИНН 46354472922 ЮРЛИЦО №1"
CL_1071	"АО ""Время"" ИНН 40468436566"	"АО ""Время"" ИНН 40468436566 ЮРЛИЦО №1"
CL_10711	"ООО ""Мнение"" ИНН 8713578660"	"ООО ""Мнение"" ИНН 8713578660 ЮРЛИЦО №1"
CL_10711	"ООО ""Мнение"" ИНН 8713578660"	"ООО ""Мнение"" ИНН 8713578660 ЮРЛИЦО №3"
CL_10721	"ООО ""Компания"" ИНН 63784935471"	"ООО ""Компания"" ИНН 63784935471 ЮРЛИЦО №1"
CL_10731	"ООО ""Сказочный статус"" ИНН 51012363466"	"ООО ""Сказочный статус"" ИНН 51012363466 ЮРЛИЦО №1"
CL_10741	"ООО ""Бесконечная система"" ИНН 13084614397"	"ООО ""Бесконечная система"" ИНН 13084614397 ЮРЛИЦО №1"
CL_10751	"ООО ""Могучая необходимость"" ИНН 72046220359"	"ООО ""Могучая необходимость"" ИНН 72046220359 ЮРЛИЦО №1"
CL_10761	"ПАО ""Весомое пространство"" ИНН 24560429196"	"ПАО ""Весомое пространство"" ИНН 24560429196 ЮРЛИЦО №1"
CL_10771	"ООО ""Богатырская безопасность"" ИНН 17432161628"	"ООО ""Богатырская безопасность"" ИНН 17432161628 ЮРЛИЦО №1"
CL_10781	"ПАО ""Безупречное растение"" ИНН 15066260247"	"ПАО ""Безупречное растение"" ИНН 15066260247 ЮРЛИЦО №1"
CL_10791	"ООО ""Тема"" ИНН 13343190949"	"ООО ""Тема"" ИНН 13343190949 ЮРЛИЦО №1"
CL_10801	"ООО ""Неисчерпаемое письмо"" ИНН 24294279464"	"ООО ""Неисчерпаемое письмо"" ИНН 24294279464 ЮРЛИЦО №1"
CL_10801	"ООО ""Неисчерпаемое письмо"" ИНН 24294279464"	"ООО ""Неисчерпаемое письмо"" ИНН 24294279464 ЮРЛИЦО №3"
CL_1081	"ООО ""Бескомпромиссный этап"" ИНН 19198157440"	"ООО ""Бескомпромиссный этап"" ИНН 19198157440 ЮРЛИЦО №1"
CL_10811	"ООО ""Истинный фактор"" ИНН 61218559517"	"ООО ""Истинный фактор"" ИНН 61218559517 ЮРЛИЦО №1"
CL_10821	"ООО ""Зеленое исследование"" ИНН 81042827458"	"ООО ""Зеленое исследование"" ИНН 81042827458 ЮРЛИЦО №1"
CL_10831	"ООО ""Бутылка"" ИНН 16953555525"	"ООО ""Бутылка"" ИНН 16953555525 ЮРЛИЦО №1"
CL_10841	"ООО ""Система"" ИНН 57899201730"	"ООО ""Система"" ИНН 57899201730 ЮРЛИЦО №1"
CL_10851	"ООО ""Хорошое кресло"" ИНН 9583669203"	"ООО ""Хорошое кресло"" ИНН 9583669203 ЮРЛИЦО №1"
CL_10851	"ООО ""Хорошое кресло"" ИНН 9583669203"	"ООО ""Хорошое кресло"" ИНН 9583669203 ЮРЛИЦО №2"
CL_10861	"ООО ""Громкая граница"" ИНН 23921502721"	"ООО ""Громкая граница"" ИНН 23921502721 ЮРЛИЦО №1"
CL_10871	"ООО ""Истинный костюм"" ИНН 28743288925"	"ООО ""Истинный костюм"" ИНН 28743288925 ЮРЛИЦО №1"
CL_10871	"ООО ""Истинный костюм"" ИНН 28743288925"	"ООО ""Истинный костюм"" ИНН 28743288925 ЮРЛИЦО №5"
CL_10881	"ООО ""Остров"" ИНН 92817256571"	"ООО ""Остров"" ИНН 92817256571 ЮРЛИЦО №1"
CL_10891	"ООО ""Арктическая сила"" ИНН 48558065630"	"ООО ""Арктическая сила"" ИНН 48558065630 ЮРЛИЦО №1"
CL_10891	"ООО ""Арктическая сила"" ИНН 48558065630"	"ООО ""Арктическая сила"" ИНН 48558065630 ЮРЛИЦО №2"
CL_10891	"ООО ""Арктическая сила"" ИНН 48558065630"	"ООО ""Арктическая сила"" ИНН 48558065630 ЮРЛИЦО №4"
CL_10901	"ООО ""Щедрый курс"" ИНН 22792112918"	"ООО ""Щедрый курс"" ИНН 22792112918 ЮРЛИЦО №1"
CL_1091	"АО ""Невиданная сила"" ИНН 63460173525"	"АО ""Невиданная сила"" ИНН 63460173525 ЮРЛИЦО №1"
CL_10911	"ООО ""Всемерный отдел"" ИНН 5239461350"	"ООО ""Всемерный отдел"" ИНН 5239461350 ЮРЛИЦО №1"
CL_10921	"ООО ""Замечательный полет"" ИНН 4031951508"	"ООО ""Замечательный полет"" ИНН 4031951508 ЮРЛИЦО №1"
CL_10921	"ООО ""Замечательный полет"" ИНН 4031951508"	"ООО ""Замечательный полет"" ИНН 4031951508 ЮРЛИЦО №3"
CL_10931	"ООО ""Экономика"" ИНН 61188370117"	"ООО ""Экономика"" ИНН 61188370117 ЮРЛИЦО №1"
CL_10941	"ООО ""Фигура"" ИНН 15965660070"	"ООО ""Фигура"" ИНН 15965660070 ЮРЛИЦО №1"
CL_10951	"ООО ""Бутылка"" ИНН 19137758795"	"ООО ""Бутылка"" ИНН 19137758795 ЮРЛИЦО №1"
CL_10961	"ООО ""Мнение"" ИНН 9453782057"	"ООО ""Мнение"" ИНН 9453782057 ЮРЛИЦО №1"
CL_10961	"ООО ""Мнение"" ИНН 9453782057"	"ООО ""Мнение"" ИНН 9453782057 ЮРЛИЦО №2"
CL_10971	"ООО ""Густой номер"" ИНН 37329628891"	"ООО ""Густой номер"" ИНН 37329628891 ЮРЛИЦО №1"
CL_10981	"ООО ""Ошеломляющий лист"" ИНН 18017358227"	"ООО ""Ошеломляющий лист"" ИНН 18017358227 ЮРЛИЦО №1"
CL_10991	"ООО ""Экономика"" ИНН 99375956734"	"ООО ""Экономика"" ИНН 99375956734 ЮРЛИЦО №1"
CL_11	"ООО ""Крыша"" ИНН 86634788860"	"ООО ""Крыша"" ИНН 86634788860 ЮРЛИЦО №1"
CL_11001	"АО ""Уважительный двор"" ИНН 89290265046"	"АО ""Уважительный двор"" ИНН 89290265046 ЮРЛИЦО №1"
CL_1101	"ООО ""Образец"" ИНН 51764432085"	"ООО ""Образец"" ИНН 51764432085 ЮРЛИЦО №1"
CL_1101	"ООО ""Образец"" ИНН 51764432085"	"ООО ""Образец"" ИНН 51764432085 ЮРЛИЦО №2"
CL_11011	"ООО ""Масштаб"" ИНН 36220764761"	"ООО ""Масштаб"" ИНН 36220764761 ЮРЛИЦО №1"
CL_11011	"ООО ""Масштаб"" ИНН 36220764761"	"ООО ""Масштаб"" ИНН 36220764761 ЮРЛИЦО №3"
CL_11021	"ООО ""Поддержка"" ИНН 59952303880"	"ООО ""Поддержка"" ИНН 59952303880 ЮРЛИЦО №1"
CL_11031	"АО ""Бесконечный предел"" ИНН 55083453059"	"АО ""Бесконечный предел"" ИНН 55083453059 ЮРЛИЦО №1"
CL_11041	"ООО ""Солидный разговор"" ИНН 83452505444"	"ООО ""Солидный разговор"" ИНН 83452505444 ЮРЛИЦО №1"
CL_11051	"ПАО ""Министерство"" ИНН 58594016627"	"ПАО ""Министерство"" ИНН 58594016627 ЮРЛИЦО №1"
CL_11061	"ООО ""Могучое мнение"" ИНН 47207855434"	"ООО ""Могучое мнение"" ИНН 47207855434 ЮРЛИЦО №1"
CL_11061	"ООО ""Могучое мнение"" ИНН 47207855434"	"ООО ""Могучое мнение"" ИНН 47207855434 ЮРЛИЦО №5"
CL_11071	"ПАО ""Природа"" ИНН 46918177043"	"ПАО ""Природа"" ИНН 46918177043 ЮРЛИЦО №1"
CL_11071	"ПАО ""Природа"" ИНН 46918177043"	"ПАО ""Природа"" ИНН 46918177043 ЮРЛИЦО №2"
CL_11081	"ООО ""Прямая личность"" ИНН 21115864958"	"ООО ""Прямая личность"" ИНН 21115864958 ЮРЛИЦО №1"
CL_11091	"ООО ""Компания"" ИНН 685677529"	"ООО ""Компания"" ИНН 685677529 ЮРЛИЦО №1"
CL_111	"ООО ""Редкая идея"" ИНН 72870296390"	"ООО ""Редкая идея"" ИНН 72870296390 ЮРЛИЦО №1"
CL_11101	"ООО ""Государство"" ИНН 52290889693"	"ООО ""Государство"" ИНН 52290889693 ЮРЛИЦО №1"
CL_11101	"ООО ""Государство"" ИНН 52290889693"	"ООО ""Государство"" ИНН 52290889693 ЮРЛИЦО №2"
CL_1111	"ООО ""Наивысший доход"" ИНН 51932378941"	"ООО ""Наивысший доход"" ИНН 51932378941 ЮРЛИЦО №1"
CL_11111	"АО ""Производство"" ИНН 8678618905"	"АО ""Производство"" ИНН 8678618905 ЮРЛИЦО №1"
CL_11121	"ООО ""Сотрудник"" ИНН 88276645203"	"ООО ""Сотрудник"" ИНН 88276645203 ЮРЛИЦО №1"
CL_11131	"ООО ""Феноменальный пункт"" ИНН 11127158709"	"ООО ""Феноменальный пункт"" ИНН 11127158709 ЮРЛИЦО №1"
CL_11141	"ООО ""Отдых"" ИНН 73505122801"	"ООО ""Отдых"" ИНН 73505122801 ЮРЛИЦО №1"
CL_11151	"АО ""Мировая компания"" ИНН 36999880278"	"АО ""Мировая компания"" ИНН 36999880278 ЮРЛИЦО №1"
CL_11161	"ПАО ""Свет"" ИНН 83289448678"	"ПАО ""Свет"" ИНН 83289448678 ЮРЛИЦО №1"
CL_11161	"ПАО ""Свет"" ИНН 83289448678"	"ПАО ""Свет"" ИНН 83289448678 ЮРЛИЦО №3"
CL_11171	"ООО ""Непередаваемая секунда"" ИНН 27616797922"	"ООО ""Непередаваемая секунда"" ИНН 27616797922 ЮРЛИЦО №1"
CL_11171	"ООО ""Непередаваемая секунда"" ИНН 27616797922"	"ООО ""Непередаваемая секунда"" ИНН 27616797922 ЮРЛИЦО №3"
CL_11181	"ПАО ""Партия"" ИНН 50772956175"	"ПАО ""Партия"" ИНН 50772956175 ЮРЛИЦО №1"
CL_11191	"ООО ""Дорога"" ИНН 76986810655"	"ООО ""Дорога"" ИНН 76986810655 ЮРЛИЦО №1"
CL_11191	"ООО ""Дорога"" ИНН 76986810655"	"ООО ""Дорога"" ИНН 76986810655 ЮРЛИЦО №3"
CL_11201	"ООО ""Хозяйство"" ИНН 39889796205"	"ООО ""Хозяйство"" ИНН 39889796205 ЮРЛИЦО №1"
CL_1121	"ООО ""Субъект"" ИНН 10519022990"	"ООО ""Субъект"" ИНН 10519022990 ЮРЛИЦО №1"
CL_11211	"ООО ""Хозяйство"" ИНН 59770532766"	"ООО ""Хозяйство"" ИНН 59770532766 ЮРЛИЦО №1"
CL_11221	"АО ""Богатырский переход"" ИНН 45204755118"	"АО ""Богатырский переход"" ИНН 45204755118 ЮРЛИЦО №1"
CL_11231	"ООО ""Открытое производство"" ИНН 1040716207"	"ООО ""Открытое производство"" ИНН 1040716207 ЮРЛИЦО №1"
CL_11241	"ООО ""Машина"" ИНН 36842700663"	"ООО ""Машина"" ИНН 36842700663 ЮРЛИЦО №1"
CL_11251	"АО ""Бесконечная точка"" ИНН 83220674965"	"АО ""Бесконечная точка"" ИНН 83220674965 ЮРЛИЦО №1"
CL_11261	"ООО ""Роман"" ИНН 38508293288"	"ООО ""Роман"" ИНН 38508293288 ЮРЛИЦО №1"
CL_11271	"ООО ""Феноменальный материал"" ИНН 32619987815"	"ООО ""Феноменальный материал"" ИНН 32619987815 ЮРЛИЦО №1"
CL_11281	"ПАО ""Полное пространство"" ИНН 70367798078"	"ПАО ""Полное пространство"" ИНН 70367798078 ЮРЛИЦО №1"
CL_11291	"ООО ""Ресурс"" ИНН 46757746272"	"ООО ""Ресурс"" ИНН 46757746272 ЮРЛИЦО №1"
CL_11301	"ООО ""Невероятное стекло"" ИНН 2660759560"	"ООО ""Невероятное стекло"" ИНН 2660759560 ЮРЛИЦО №1"
CL_1131	"ООО ""Качество"" ИНН 15850144901"	"ООО ""Качество"" ИНН 15850144901 ЮРЛИЦО №1"
CL_11311	"ООО ""Зима"" ИНН 2426147242"	"ООО ""Зима"" ИНН 2426147242 ЮРЛИЦО №1"
CL_11321	"ООО ""Безраздельное течение"" ИНН 18352604788"	"ООО ""Безраздельное течение"" ИНН 18352604788 ЮРЛИЦО №1"
CL_11331	"ООО ""Развитие"" ИНН 48348779241"	"ООО ""Развитие"" ИНН 48348779241 ЮРЛИЦО №1"
CL_11341	"ООО ""Взгляд"" ИНН 7976059090"	"ООО ""Взгляд"" ИНН 7976059090 ЮРЛИЦО №1"
CL_11341	"ООО ""Взгляд"" ИНН 7976059090"	"ООО ""Взгляд"" ИНН 7976059090 ЮРЛИЦО №2"
CL_11351	"ООО ""Слово"" ИНН 47079146421"	"ООО ""Слово"" ИНН 47079146421 ЮРЛИЦО №1"
CL_11351	"ООО ""Слово"" ИНН 47079146421"	"ООО ""Слово"" ИНН 47079146421 ЮРЛИЦО №2"
CL_11361	"ПАО ""Мгновение"" ИНН 6492504201"	"ПАО ""Мгновение"" ИНН 6492504201 ЮРЛИЦО №1"
CL_11371	"ООО ""Ресурс"" ИНН 38852078540"	"ООО ""Ресурс"" ИНН 38852078540 ЮРЛИЦО №1"
CL_11381	"ООО ""Животная неделя"" ИНН 21951476724"	"ООО ""Животная неделя"" ИНН 21951476724 ЮРЛИЦО №1"
CL_11391	"ООО ""Дорога"" ИНН 49048262346"	"ООО ""Дорога"" ИНН 49048262346 ЮРЛИЦО №1"
CL_11401	"ООО ""Ювелирная компания"" ИНН 37647439781"	"ООО ""Ювелирная компания"" ИНН 37647439781 ЮРЛИЦО №1"
CL_1141	"ООО ""Действие"" ИНН 57834674718"	"ООО ""Действие"" ИНН 57834674718 ЮРЛИЦО №1"
CL_11411	"ООО ""Время"" ИНН 97378279567"	"ООО ""Время"" ИНН 97378279567 ЮРЛИЦО №1"
CL_11421	"ПАО ""Столица"" ИНН 81792776664"	"ПАО ""Столица"" ИНН 81792776664 ЮРЛИЦО №1"
CL_11431	"ООО ""Граница"" ИНН 86060974914"	"ООО ""Граница"" ИНН 86060974914 ЮРЛИЦО №1"
CL_11431	"ООО ""Граница"" ИНН 86060974914"	"ООО ""Граница"" ИНН 86060974914 ЮРЛИЦО №3"
CL_11441	"АО ""Город"" ИНН 21490922034"	"АО ""Город"" ИНН 21490922034 ЮРЛИЦО №1"
CL_11451	"ООО ""Ослепительная комиссия"" ИНН 26414489758"	"ООО ""Ослепительная комиссия"" ИНН 26414489758 ЮРЛИЦО №1"
