Product_key	Название товара	Название бренда	Группа товара
26_7_9	"Бумага рисовальная ""Вивальди"", 500х700мм, 125г/кв.м, лиловый (№45)"	Canson	Бумага-вывод- в листах
27_3_5	Бумага рисовальная 130г/кв.м, 500х700мм бежевый	Сонет	z-Уценка
28_3_5	Бумага рисовальная 130г/кв.м, 500х700мм голубой морской	Сонет	z-Уценка
29_3_5	Бумага рисовальная 130г/кв.м, 500х700мм зеленый еловый	Сонет	z-Уценка
30_3_5	Бумага рисовальная 130г/кв.м, 500х700мм королевский голубой	Сонет	z-Уценка
31_8_10	Бумага тутовая 25г/кв.м650х950мм, лимонный (№184)	Clairfontaine	Бумага-вывод- из серий_Уценка группы
32_7_11	Калька, 90г/кв.м, 420х594мм, белый	Canson	Бумага техническая-калька
33_5_12	"Картон гофрированный ""волна"", 500х700мм, черный"	Folia Bringmann	Бумага дизайнерская-гофрокартон цветной, рулоны
34_5_12	Картон гофрированный, 500х700мм, лимонный	Folia Bringmann	Бумага дизайнерская-гофрокартон цветной, рулоны
35_9_13	"Набор акварельных карандашей ""Albrecht durer"" (60цв.), металич.упаковка"	Faber-Castell	Графические материалы-акварельные-наборы
36_5_14	"Набор ручек гелевых ""Black Style"", металлик, 10 цв., блист.упаковка"	Folia Bringmann	Графические материалы-маркеры-ручки 
37_5_14	"Набор ручек гелевых ""Black Style"", пастельные цвета, 10 цв., блист.упаковка"	Folia Bringmann	Графические материалы-маркеры-ручки 
38_10_15	"Набор цветных карандашей, 48цв., дер.упаковка, ""Studio"""	Derwent	Графические материалы-полихромные-наборы 
39_11_16	"Папка на молнии А3, ткань, черный ""Пленэр"""	Тула	Сумки-на молнии ткань/кожа
40_12_17	"Акрил ""Polycolor 3D"", банка 140мл, сиена жженая (цв.№278)"	Maimeri	Живопись-Акрил стандарт - Polycolor 3D Maimeri банка
41_2_18	Акрил художественный, туба 46мл сер.1 марс черный (цв.№704)	Гамма	Живопись-Акрил студия - художественный  ГлянцевыйГамма европодвес
42_13_9	"Бумага акварельная хл.100%, 640г/кв.м, 560х760мм ""Artistico"""	Fabriano	Бумага-вывод- в листах
43_8_19	Бумага банановая 35г/кв.м, 650х950мм, бледно зеленый (№10)	Clairfontaine	Бумага дизайнерская-банановая 35г/кв.м, 650х950мм - 8 арт.
44_8_19	Бумага банановая 35г/кв.м, 650х950мм, коричневый (№13)	Clairfontaine	Бумага дизайнерская-банановая 35г/кв.м, 650х950мм - 8 арт.
45_8_19	Бумага банановая 35г/кв.м, 650х950мм, синий (№17)	Clairfontaine	Бумага дизайнерская-банановая 35г/кв.м, 650х950мм - 8 арт.
46_14_20	"Бумага дизайнерская 240г/кв.м, 650х500мм, ""Balkis"" белое золото"	Lana	Бумага дизайнерская-тонированая, листы
47_14_21	"Бумага пастельная 160г/кв.м, 210х297мм ""Colours"" песок (№149)"	Lana	Бумага пастель-листы-студия
48_14_21	"Бумага пастельная 160г/кв.м, 210х297мм ""Colours"" синий (№137)"	Lana	Бумага пастель-листы-студия
49_14_21	"Бумага пастельная 160г/кв.м, 210х297мм ""Colours"" сиренево-красный (№134)"	Lana	Бумага пастель-листы-студия
50_14_21	"Бумага пастельная 160г/кв.м, 210х297мм ""Colours"" темно-синий (№140)"	Lana	Бумага пастель-листы-студия
51_14_21	"Бумага пастельная 160г/кв.м, 210х297мм ""Colours"" устрица (№148)"	Lana	Бумага пастель-листы-студия
52_8_22	Бумага тутовая 25г/кв.м, 650х950мм, бирюзовый (№111)	Clairfontaine	Бумага дизайнерская-тутовая 25г/кв.м, 650х950мм - 17 арт.
53_8_10	Бумага тутовая 25г/кв.м, 650х950мм, желтый (№102)	Clairfontaine	Бумага-вывод- из серий_Уценка группы
54_8_22	Бумага тутовая 25г/кв.м, 650х950мм, зеленое яблоко (№108)	Clairfontaine	Бумага дизайнерская-тутовая 25г/кв.м, 650х950мм - 17 арт.
55_5_7	"Бумага цветная ""Fotokarton"", 500х700мм, 300г/кв.м, тема: корова"	Folia Bringmann	z-Неликвиды прочие
56_5_7	"Бумага цветная ""Fotokarton"", 500х700мм, 300г/кв.м, тема: леопард бледный"	Folia Bringmann	z-Неликвиды прочие
57_15_11	Калька под тушь 40г/кв.м 0,625х10м в рулоне	Фирма Бумага	Бумага техническая-калька
58_16_23	Клей  для текстильных изделий, банка 150 мл	Ferrario	ДПИ-Направления-Ткань-ВС
59_17_24	"Линейка из нержавеющей стали ""Профи"", 30см, чехол"	Stayer	Черчение-Линейки
60_5_25	"Набор бумаги дизайнерской ""Abstracta and Young"", (30 листов), 240х340мм"	Folia Bringmann	Бумага-вывод-Альбомы,блокноты,блоки,склейки,папки
61_18_26	"Набор красок по ткани ""Decola"" 12цв. по 20мл картон. упаковка"	ЗХК	ДПИ-Направления-Ткань-наборы
62_5_27	Ножницы фигурные, вид резца - лестница	Folia Bringmann	Инструменты-макетирование-Ножи-Ножницы
63_2_28	"Палитра деревянная, овальная 200х300х5мм ""Artist palette"""	Гамма	Живопись - инструменты-Палитры
64_19_29	Папка с листами д/акв цел.100% 200г/кв.м 210х297мм 10л Тамара	СПБФ Гознака	Бумага акварель-блоки-студия
65_19_29	"Папка с листами д/акв цел.100% 200г/кв.м 210х297мм 20л ""Рыбачка"""	СПБФ Гознака	Бумага акварель-блоки-студия
66_20_30	Мольберт со съемным планшетом h: мах 103 4кг пл-т: 45х63	ХМ	Мольберты-Хлопушки
67_6_31	"Акрил туба 75мл ""System3"" белила титановые (цв.№009)"	Daler-rowney	Живопись-Акрил стандарт - System3 DR туба
68_19_32	Бумага рисовальная 200г/кв.м, 610х860мм	СПБФ Гознака	Бумага рисовальная-листы
69_17_33	Лента клейкая, малярная бумажная, 48ммх40м	Stayer	Живопись - инструменты-Ленты клейкие, скотчи
70_18_34	"Набор акварели ""Ленинград-2"" сер.""Белые ночи"", (16цв.по 2.5мл); картон.упаковка"	ЗХК	Живопись-акварель-наборы
71_14_20	"Бумага дизайнерская 240г/кв.м, 700х500мм, ""Balkis"" охра желтая"	Lana	Бумага дизайнерская-тонированая, листы
72_13_9	"Бумага пастельная 160г/кв.м, 150х1000мм, в рулоне ""Tiziano"" черный"	Fabriano	Бумага-вывод- в листах
73_14_21	"Бумага пастельная 160г/кв.м, 500х650мм ""Colours"" охра (№495)"	Lana	Бумага пастель-листы-студия
74_14_21	"Бумага пастельная 160г/кв.м, 500х650мм ""Colours"" песок (№473)"	Lana	Бумага пастель-листы-студия
75_14_21	"Бумага пастельная 160г/кв.м, 500х650мм ""Colours"" серо-голубой (№480)"	Lana	Бумага пастель-листы-студия
76_14_21	"Бумага пастельная 160г/кв.м, 500х650мм ""Colours"" сиена натуральная (№490)"	Lana	Бумага пастель-листы-студия
77_7_9	"Бумага рисовальная ""Вивальди"", 500х700мм, 125г/кв.м, землистый (№51)"	Canson	Бумага-вывод- в листах
78_7_9	"Бумага рисовальная ""Вивальди"", 500х700мм, 125г/кв.м, коричневый шоколадный (№61)"	Canson	Бумага-вывод- в листах
79_7_9	"Бумага рисовальная ""Вивальди"", 500х700мм, 125г/кв.м, мандариновый (№06)"	Canson	Бумага-вывод- в листах
80_7_32	"Бумага рисовальная ""Вивальди"", 500х700мм, 290г/кв.м, темно-синий (№54)"	Canson	Бумага рисовальная-листы
81_21_35	"Винты 2х16мм ""глазки"", металл"	Лион Арт Сервис	Подрамники, рамы-рамы-Фурнитура (клинья, подвески)
82_19_36	Картон тонированный 610х860мм желтый	СПБФ Гознака	Бумага-Картон-тонированный
83_19_36	Картон тонированный 610х860мм зеленый	СПБФ Гознака	Бумага-Картон-тонированный
84_19_36	Картон тонированный 610х860мм розовый	СПБФ Гознака	Бумага-Картон-тонированный
85_19_36	Картон тонированный 610х860мм синий	СПБФ Гознака	Бумага-Картон-тонированный
86_1_4	Кисть синтетика круглая серия 1212 №01	Живописные кисти	Кисти-Акварель-Синтетика
87_18_5	"Набор контуров ""Металлик"" по ткани ""Decola"",  (6цв.по 18мл)"	ЗХК	z-Уценка
88_18_5	"Набор контуров ""Перламутр"" по ткани ""Decola"",  (6цв.по 18мл)"	ЗХК	z-Уценка
89_18_5	"Набор контуров ""Цветной"" по ткани ""Decola"",  (6цв.по 18мл)"	ЗХК	z-Уценка
90_18_37	"Набор контуров по стеклу и керамике ""Decola"" 6цв. по 18мл"	ЗХК	ДПИ-Направления-Стекло-Наборы
91_2_38	"Набор пастели масляной ""Студия"" (24цв.), картон.упаковка"	Гамма	Графические материалы-пастель-масляная
92_19_36	"Набор цветного картона 10л ""Волшебники"", ""Мышонок"" 10цв"	СПБФ Гознака	Бумага-Картон-тонированный
93_19_25	"Набор цветного картона 16л ""Утенок"" 8цв"	СПБФ Гознака	Бумага-вывод-Альбомы,блокноты,блоки,склейки,папки
94_19_36	"Набор цветного картона 210х297мм, 12л ""Подсолнух"" 4цв"	СПБФ Гознака	Бумага-Картон-тонированный
95_22_39	Пенокартон белый 0,3см 1000х1400мм глянцевый	Foam	Бумага-Картон-пенокартон
96_22_39	Пенокартон белый 0,5см 700х1000мм глянцевый 1	Foam	Бумага-Картон-пенокартон
97_21_35	"Подвеска ""Slip-Over"""	Лион Арт Сервис	Подрамники, рамы-рамы-Фурнитура (клинья, подвески)
98_23_40	Глина скульптурная готовая к применению, 1 кг	ЭМТИ	z-Уценка группы 15.12.2009г. ВС-вывод
99_23_40	Глина скульптурная сухая, 1 кг	ЭМТИ	z-Уценка группы 15.12.2009г. ВС-вывод
100_2_23	Состав резервирующий для красок по тканям флакон 70мл бесцветный	Гамма	ДПИ-Направления-Ткань-ВС
101_3_5	Бумага рисовальная 130г/кв.м, 500х700мм зеленый изумрудный	Сонет	z-Уценка
102_3_5	Бумага рисовальная 130г/кв.м, 500х700мм мята	Сонет	z-Уценка
103_1_41	Кисть щетина флейц №120	Живописные кисти	Кисти-Специальные-Щетина
104_24_42	"Моделин брикет ""Paperclay"" 454г"	Paperclay	ДПИ-Направления-Лепка-Пластика
105_25_42	Моделин брикет 1000г керамика белый	Cernit	ДПИ-Направления-Лепка-Пластика
106_25_42	Моделин брикет 500г керамика белый	Cernit	ДПИ-Направления-Лепка-Пластика
107_26_42	"Пластик самоотверд. ""Holzy"" серия ""Efaplast "" под дерево коричневый 350г"	Eberhard Faber	ДПИ-Направления-Лепка-Пластика
108_12_43	"Акрил ""Polycolor"", банка 140мл сер.1 бирюза (цв.№408)"	Maimeri	Живопись-Акрил стандарт - Polycolor Maimeri банка
109_12_43	"Акрил ""Polycolor"", банка 140мл сер.1 богатое золото (цв.№148)"	Maimeri	Живопись-Акрил стандарт - Polycolor Maimeri банка
110_12_43	"Акрил ""Polycolor"", банка 140мл сер.1 зелёный желчный (цв.№358)"	Maimeri	Живопись-Акрил стандарт - Polycolor Maimeri банка
111_12_43	"Акрил ""Polycolor"", банка 140мл сер.1 синий основной Cyan(цв.№400)"	Maimeri	Живопись-Акрил стандарт - Polycolor Maimeri банка
112_2_44	Гуашь, банка п/э 220мл сер.1 алый (цв.№107)	Гамма	Живопись-гуашь, банка/туба
113_2_44	Гуашь, банка п/э 220мл сер.1 зелёный (цв.№519)	Гамма	Живопись-гуашь, банка/туба
114_2_44	Гуашь, банка п/э 220мл сер.1 изумрудный зелёный светлый (цв.№535)	Гамма	Живопись-гуашь, банка/туба
115_2_44	Гуашь, банка п/э 220мл сер.1 изумрудный зелёный тёмный (цв.№522)	Гамма	Живопись-гуашь, банка/туба
116_2_44	Гуашь, банка п/э 220мл сер.1 краплак красный (цв.№314)	Гамма	Живопись-гуашь, банка/туба
117_2_44	Гуашь, банка п/э 220мл сер.1 красный железоокисный (цв.№209)	Гамма	Живопись-гуашь, банка/туба
118_2_44	Гуашь, банка п/э 220мл сер.1 лазурь (цв.№402)	Гамма	Живопись-гуашь, банка/туба
119_2_44	Гуашь, банка п/э 220мл сер.1 лимонный (цв.№133)	Гамма	Живопись-гуашь, банка/туба
120_2_44	Гуашь, банка п/э 220мл сер.1 марс тёмно-коричневый (цв.№606)	Гамма	Живопись-гуашь, банка/туба
121_2_44	Гуашь, банка п/э 220мл сер.1 охра золотистая (цв.№114)	Гамма	Живопись-гуашь, банка/туба
122_2_44	Гуашь, банка п/э 220мл сер.1 светло-жёлтый (цв.№148)	Гамма	Живопись-гуашь, банка/туба
123_2_44	Гуашь, банка п/э 220мл сер.1 синий спектральный (цв.№411)	Гамма	Живопись-гуашь, банка/туба
124_2_44	Гуашь, банка п/э 220мл сер.1 фиолетовый тёмный (цв.№315)	Гамма	Живопись-гуашь, банка/туба
125_2_44	Гуашь, банка п/э 220мл сер.2 белила цинковые	Гамма	Живопись-гуашь, банка/туба
126_2_44	Гуашь, банка п/э 220мл сер.2 бирюзовая (цв.№412)	Гамма	Живопись-гуашь, банка/туба
127_2_44	Гуашь, банка п/э 220мл сер.2 зелёный хромовый (цв.№509)	Гамма	Живопись-гуашь, банка/туба
128_2_44	Гуашь, банка п/э 220мл сер.2 кармин (цв.№206)	Гамма	Живопись-гуашь, банка/туба
129_2_44	Гуашь, банка п/э 220мл сер.3 ультрамарин светлый (цв.№404)	Гамма	Живопись-гуашь, банка/туба
130_23_45	Планшет 80х100см одностр-й, ДВП	ЭМТИ	Подрамники, рамы-Планшеты
131_3_46	Холст в рулоне, крупнозернистый 2.1х10м, хлопок 100%	Сонет	Основы-холст грунтованный мерный
132_27_47	Загуститель акриловых красок, флакон п/э 120мл	Таир	ВС акрил основные
133_3_47	"Замедлитель высыхания акрил.красок ""Сонет"", 100мл"	Сонет	ВС акрил основные
134_12_48	Лак изолирующий универсальный 250мл, №680	Maimeri	ВС универсальные покрывные
135_12_49	Лак мордан на водн.основе для сусального золота, банка стекло 140мл	Maimeri	ВС золочение окончательная обработка
136_12_50	"Лак патина защитный универсальный ""Idea"", пласт.банка 60 мл,  (цв.№715)"	Maimeri	Золочение и реставрация-патинирование, краска 
137_12_51	"Масло краска ""Classico"", туба 60мл, зеленый лак (цв.№290)"	Maimeri	Живопись-масло-студия-Classico Maimeri
138_12_51	"Масло краска ""Classico"", туба 60мл, кадмий желтый глубокий (цв.№084)"	Maimeri	Живопись-масло-студия-Classico Maimeri
139_12_51	"Масло краска ""Classico"", туба 60мл, киноварь зелёный светлый (цв.№286)"	Maimeri	Живопись-масло-студия-Classico Maimeri
140_12_51	"Масло краска ""Classico"", туба 60мл, коричневый ван дик (цв.№484)"	Maimeri	Живопись-масло-студия-Classico Maimeri
141_12_51	"Масло краска ""Classico"", туба 60мл, марс красный (цв.№248)"	Maimeri	Живопись-масло-студия-Classico Maimeri
142_12_51	"Масло краска ""Classico"", туба 60мл, неаполитанский желтый  темный (цв.№107)"	Maimeri	Живопись-масло-студия-Classico Maimeri
143_12_51	"Масло краска ""Classico"", туба 60мл, неаполитанский желтый светлый (цв.№105)"	Maimeri	Живопись-масло-студия-Classico Maimeri
144_12_51	"Масло краска ""Classico"", туба 60мл, серый пейна (цв.№514)"	Maimeri	Живопись-масло-студия-Classico Maimeri
145_12_51	"Масло краска ""Classico"", туба 60мл, синий королевский светлый (цв.№405)"	Maimeri	Живопись-масло-студия-Classico Maimeri
146_18_52	"Масло краска ""Ладога"", туба 120мл сер.1 белила цинковые (цв.№100)"	ЗХК	Живопись-масло-студия-Ладога ЗХК
147_18_52	"Масло краска ""Ладога"", туба 120мл сер.1 бирюзовый (цв.№507)"	ЗХК	Живопись-масло-студия-Ладога ЗХК
148_18_52	"Масло краска ""Ладога"", туба 120мл сер.1 виридоновый зелёный (цв.№701)"	ЗХК	Живопись-масло-студия-Ладога ЗХК
149_18_52	"Масло краска ""Ладога"", туба 120мл сер.1 голубой ФЦ (цв.№500)"	ЗХК	Живопись-масло-студия-Ладога ЗХК
150_18_52	"Масло краска ""Ладога"", туба 120мл сер.1 кадмий желтый средний (имитац) (цв.№201)"	ЗХК	Живопись-масло-студия-Ладога ЗХК
151_18_52	"Масло краска ""Ладога"", туба 120мл сер.1 кадмий желтый темный (имитац) (цв.№202)"	ЗХК	Живопись-масло-студия-Ладога ЗХК
152_18_52	"Масло краска ""Ладога"", туба 120мл сер.1 кадмий красный светлый (имит) (цв.№302)"	ЗХК	Живопись-масло-студия-Ладога ЗХК
153_18_52	"Масло краска ""Ладога"", туба 120мл сер.1 кадмий красный темный (имит) (цв.№303)"	ЗХК	Живопись-масло-студия-Ладога ЗХК
154_18_52	"Масло краска ""Ладога"", туба 120мл сер.1 кадмий лимонный (имитация) (цв.№203)"	ЗХК	Живопись-масло-студия-Ладога ЗХК
155_18_52	"Масло краска ""Ладога"", туба 120мл сер.1 кармин (имитация) (цв.№330)"	ЗХК	Живопись-масло-студия-Ладога ЗХК
156_18_52	"Масло краска ""Ладога"", туба 120мл сер.1 кобальт зеленый светлый (имит) (цв.№706)"	ЗХК	Живопись-масло-студия-Ладога ЗХК
157_18_52	"Масло краска ""Ладога"", туба 120мл сер.1 кобальт зеленый темный (имит) (цв.№705)"	ЗХК	Живопись-масло-студия-Ладога ЗХК
158_18_52	"Масло краска ""Ладога"", туба 120мл сер.1 кобальт синий средний (имит) (цв.№505)"	ЗХК	Живопись-масло-студия-Ладога ЗХК
159_18_52	"Масло краска ""Ладога"", туба 120мл сер.1 охра желтая (цв.№218)"	ЗХК	Живопись-масло-студия-Ладога ЗХК
160_18_52	"Масло краска ""Ладога"", туба 120мл сер.1 охра светлая (цв.№206)"	ЗХК	Живопись-масло-студия-Ладога ЗХК
161_18_52	"Масло краска ""Ладога"", туба 120мл сер.1 сиена жженая (цв.№406)"	ЗХК	Живопись-масло-студия-Ладога ЗХК
162_18_52	"Масло краска ""Ладога"", туба 120мл сер.1 сиена натуральная (цв.№405)"	ЗХК	Живопись-масло-студия-Ладога ЗХК
163_18_52	"Масло краска ""Ладога"", туба 120мл сер.1 сиена натуральная башкирская (цв.№420)"	ЗХК	Живопись-масло-студия-Ладога ЗХК
164_18_52	"Масло краска ""Ладога"", туба 120мл сер.1 умбра жжёная (цв.№408)"	ЗХК	Живопись-масло-студия-Ладога ЗХК
165_18_52	"Масло краска ""Ладога"", туба 120мл сер.1 церулеум (имитация) (цв.№503)"	ЗХК	Живопись-масло-студия-Ладога ЗХК
166_18_52	"Масло краска ""Ладога"", туба 120мл сер.2 зелёный ФЦ(цв.№703)"	ЗХК	Живопись-масло-студия-Ладога ЗХК
167_18_52	"Масло краска ""Ладога"", туба 120мл сер.2 кобальт фиолетовый темн.(имит) (цв.№603)"	ЗХК	Живопись-масло-студия-Ладога ЗХК
168_18_52	"Масло краска ""Ладога"", туба 120мл сер.2 ультрамарин светлый (цв.№501)"	ЗХК	Живопись-масло-студия-Ладога ЗХК
169_18_52	"Масло краска ""Ладога"", туба 60мл сер.1 английский красный (цв.№300)"	ЗХК	Живопись-масло-студия-Ладога ЗХК
170_2_53	"Масло краска ""Старый Мастер"", туба 46мл сер.1 марс оранжевый (цв.№620)"	Гамма	Живопись-масло-профи-Старый Мастер Гамма
171_2_53	"Масло краска ""Старый Мастер"", туба 46мл сер.1 марс черный (цв.№704)"	Гамма	Живопись-масло-профи-Старый Мастер Гамма
172_2_54	"Масло краска ""Студия"", туба 46мл сер.1 болотный светлый (цв.№527)"	Гамма	Живопись-масло-студия-Студия Гамма
173_16_55	Паста объёмная, банка п/э 300мл	Ferrario	ВС прочие - расформировать
174_12_56	Разбавитель без запаха, флакон стекло 250мл, №600	Maimeri	ВС масло растворители очистители
175_2_57	Разбавитель для акрил. красок, флакон п/э 110мл	Гамма	ВС акрил растворители очистители связующие
176_6_39	Пенокартон белый 1,0см 1016х1524мм глянцевый	Daler-rowney	Бумага-Картон-пенокартон
177_18_58	"Гуашь ""Сонет"", банка 500мл, коричневый, (цв.№419)"	ЗХК	Живопись-гуашь, Сонет, банка 500мл ЗХК
178_2_44	Гуашь, банка п/э 220мл сер.2 белила титановые	Гамма	Живопись-гуашь, банка/туба
179_18_34	"Набор акварели медовой ""Цветик"", (14цв.по 2.5мл), картон.упаковка"	ЗХК	Живопись-акварель-наборы
180_18_59	"Набор цветных карандашей, 12цв., картон.упаковка,""Цветик"""	ЗХК	z-Уценка группы 15.12.2009г. Графические материалы-вывод
181_18_59	"Набор цветных карандашей, 6цв., картон.упаковка,""Цветик"""	ЗХК	z-Уценка группы 15.12.2009г. Графические материалы-вывод
182_19_60	Бумага чертежная 200г/кв.м, 610х860мм ватман	СПБФ Гознака	Бумага техническая-листы
183_28_9	Картон пивной, 70х100см, толщина 1.6мм	Полиграфресурсы	Бумага-вывод- в листах
184_29_61	"Ластик ""Elefant"" для чернографитных карандашей большой"	Koh-i-Noor	Графические материалы-инструменты-ластики
185_18_52	"Масло краска ""Ладога"", туба 60мл сер.1 виридоновый зелёный (цв.№701)"	ЗХК	Живопись-масло-студия-Ладога ЗХК
186_18_52	"Масло краска ""Ладога"", туба 60мл сер.1 кадмий желтый средний (имитация)(цв.№201)"	ЗХК	Живопись-масло-студия-Ладога ЗХК
187_18_52	"Масло краска ""Ладога"", туба 60мл сер.1 кадмий красный светлый (имитац)(цв.№302)"	ЗХК	Живопись-масло-студия-Ладога ЗХК
188_18_52	"Масло краска ""Ладога"", туба 60мл сер.1 неаполитанский оранж.-жёлтый (цв.№329)"	ЗХК	Живопись-масло-студия-Ладога ЗХК
189_18_52	"Масло краска ""Ладога"", туба 60мл сер.1 неаполитанский телесный (цв.№222)"	ЗХК	Живопись-масло-студия-Ладога ЗХК
190_18_52	"Масло краска ""Ладога"", туба 60мл сер.1 небесно-голубой (цв.№512)"	ЗХК	Живопись-масло-студия-Ладога ЗХК
191_18_62	"Масло краска ""Мастер-класс"", туба 46мл сер.1 белила титановые (цв.№101)"	ЗХК	Живопись-масло-профи-Мастер-Класс ЗХК
192_18_62	"Масло краска ""Мастер-класс"", туба 46мл сер.1 индийская красный (цв.№301)"	ЗХК	Живопись-масло-профи-Мастер-Класс ЗХК
193_18_62	"Масло краска ""Мастер-класс"", туба 46мл сер.2 ультрамарин светлый (цв.№501)"	ЗХК	Живопись-масло-профи-Мастер-Класс ЗХК
194_18_62	"Масло краска ""Мастер-класс"", туба 46мл сер.4 кобальт синий средний (цв.№505)"	ЗХК	Живопись-масло-профи-Мастер-Класс ЗХК
195_18_63	"Масло краска ""Сонет"", туба 46мл сер.1 умбра натуральная ленинградская (цв.№407)"	ЗХК	Живопись-масло-студия-Сонет ЗХК
196_18_64	Масло льняное рафинир.отбеленное, флакон п/э 220мл	ЗХК	ВС масло связующие
197_30_65	"Пистолет скобозабивной ""Proline"" пластмассовый (6-14мм)"	Rapid	Основы-Аксессуары для холстов
198_18_56	"Разбавитель без запаха ""Сонет"", флакон п/э 220мл"	ЗХК	ВС масло растворители очистители
199_4_66	Рама со стеклом 30х40см, сосна неокрашенная, серия С2С, профиль прямой	Двуреченский	Подрамники, рамы-рамы-неокрашенные со стеклом
200_17_65	"Скобы закаленные""Профи"", тип 140, 12мм, 1000шт"	Stayer	Основы-Аксессуары для холстов
201_17_65	"Скобы закаленные""Профи"", тип 140, 8мм, 1000шт"	Stayer	Основы-Аксессуары для холстов
202_18_67	"Удалена Масло краска ""Ладога"", туба 60мл, шунгит  (цв.№802)"	ЗХК	z-Вывод общий
203_2_68	Холст на картоне, мелкозернистый 25х30см, хлопок 100%	Гамма	Основы-холст на картоне
204_2_68	Холст на картоне, мелкозернистый 30х40см, хлопок 100%	Гамма	Основы-холст на картоне
205_31_69	"Книга Атюс-Бертран Я. ""Земля, увиденная с неба: Портрет планеты с воздуха"""	изд. Арт-Родник	Литература-Подарочные издания
206_12_51	"Масло краска ""Classico"", туба 60мл, сине-зеленый ФЦ (цв.№410)"	Maimeri	Живопись-масло-студия-Classico Maimeri
207_19_60	Бумага чертежная 200г/кв.м, 297х420мм ватман	СПБФ Гознака	Бумага техническая-листы
208_18_44	"Гуашь ""Мастер-класс"", банка 100мл сер.1 краплак красный прочный (цв.№339)"	ЗХК	Живопись-гуашь, банка/туба
209_18_44	"Гуашь ""Мастер-класс"", банка 100мл сер.1 красный (цв.№331)"	ЗХК	Живопись-гуашь, банка/туба
210_18_44	"Гуашь ""Мастер-класс"", банка 100мл сер.1 лазурь железная (цв.№506)"	ЗХК	Живопись-гуашь, банка/туба
211_18_44	"Гуашь ""Мастер-класс"", банка 100мл сер.1 оранжевый (цв.№315)"	ЗХК	Живопись-гуашь, банка/туба
212_18_44	"Гуашь ""Мастер-класс"", банка 100мл сер.1 охра золотистый (цв.№205)"	ЗХК	Живопись-гуашь, банка/туба
